Name,Longitude,Latitude,Max Temperature,Humidity,Cloudiness,Wind,Country
Auki,6.51,12.18,84.848,21,33,3.02,NG
Hilton Head Island,-80.75,32.16,48.992,87,90,7.7,US
Zharkovskiy,32.27,55.85,41.468,93,99,2.76,RU
Petropavlovsk-Kamchatskiy,158.65,53.05,14,92,40,2,RU
Yucca Valley,-116.41,34.12,82.994,25,1,2.1,US
Tema,-0.01,5.66,84.2,79,20,5.1,GH
Myskhako,37.76,44.66,53.6,66,75,5,RU
Flinders,150.85,-34.58,62.996,100,90,2.6,AU
Humaita,-65.37,-24.93,91.4,32,75,4.6,AR
Bilibino,166.44,68.06,-1.3,46,61,0.36,RU
Weihai,122.11,37.5,57.002,71,99,1.34,CN
Petrove,33.27,48.34,42.8,93,90,5,UA
Ghanzi,21.65,-21.7,86.972,9,5,3.66,BW
Batticaloa,81.69,7.71,74.894,91,90,1.31,LK
Sorland,12.69,67.67,40.064,69,0,6.99,NO
Cockburn Town,-71.14,21.46,84.2,70,40,2.6,TC
Jingdezhen,117.2,29.29,64.094,46,69,0.62,CN
Proletariy,31.7,58.43,37.958,90,90,1.45,RU
Cuamba,36.54,-14.8,75.38,73,94,3.41,MZ
High Level,-117.13,58.52,12.2,92,90,2.49,CA
Mitsamiouli,43.28,-11.38,84.2,66,20,1,KM
Vestmanna,-7.17,62.16,42.8,93,100,7.7,FO
Ijui,-53.91,-28.39,78.584,37,0,3.42,BR
Havre-Saint-Pierre,-63.6,50.23,21.2,62,40,10.3,CA
Srednekolymsk,153.71,67.46,5.414,95,100,3.14,RU
Chumikan,135.31,54.72,8.204,75,100,8.87,RU
Vila,8.4,45.18,48.992,100,90,4.6,IT
Hortobagy,21.15,47.58,53.6,87,49,2.1,HU
Port Shepstone,30.45,-30.74,62.366,90,39,0.21,ZA
Kirakira,161.92,-10.46,76.19,89,94,2.62,SB
Sinnamary,-52.96,5.38,82.544,79,8,6.11,GF
Draguignan,6.46,43.54,53.006,81,75,2.07,FR
Ust-Barguzin,109.03,53.41,11.516,89,100,5.7,RU
Solnechnyy,136.64,50.72,8.132,84,98,1.17,RU
Port Hawkesbury,-61.36,45.62,28.004,62,90,9.3,CA
Avera,-82.53,33.19,57.002,71,90,7.7,US
Nome,-94.42,30.04,59,33,1,3.6,US
Vao,26.19,59.1,34.376,96,67,3.21,EE
Wuchi,103.02,29.38,44.744,96,90,0.88,CN
Bintulu,113.03,3.17,77,94,75,0.5,MY
Saint-Paul,1.9,45.22,41,93,100,2.1,FR
Ayan,44.7,38.23,26.474,82,1,1.65,IR
Sikeston,-89.59,36.88,46.994,60,1,2.6,US
Malanville,3.39,11.86,84.668,24,13,1.35,NE
Kerema,145.78,-7.96,73.742,93,96,0.96,PG
Wagar,-87.99,31.44,57.992,52,0,0.45,US
Omaruru,15.95,-21.42,72.176,30,48,5.55,NA
Walvis Bay,14.51,-22.95,66.2,72,58,2.6,NA
Ancud,-73.83,-41.87,57.2,67,75,9.3,CL
Herat,62.22,34.35,44.6,52,0,1.5,AF
Manokwari,134.08,-0.87,74.39,72,97,1.82,ID
Grand-Lahou,-5,5.24,83.102,76,100,5.08,CI
Hay River,-115.79,60.82,5,77,75,1,CA
Comodoro Rivadavia,-67.48,-45.87,71.6,21,100,10.3,AR
Tambovka,47.38,47.32,35.528,85,0,4.96,RU
Cherskiy,161.3,68.75,-4.9,99,96,1.62,RU
Petrolina,-40.5,-9.38,100.4,24,20,1,BR
Sorong,131.25,-0.86,73.22,99,99,0.52,ID
Quatre Cocos,57.76,-20.21,75.992,78,40,5.7,MU
Putina,-69.87,-14.91,57.2,41,75,4.6,PE
Panaba,-88.27,21.28,80.006,54,85,2.68,MX
San Jose,-87.96,14.25,77,61,80,3.43,HN
Abu Dhabi,54.37,24.47,77,65,0,2.6,AE
Palmas Bellas,-80.09,9.23,86,83,40,5.1,PA
Novoagansk,76.66,61.94,13.802,96,100,1.01,RU
Catalina Foothills,-110.92,32.3,77,21,1,1.5,US
Bajil,-2.07,38.23,35.996,70,0,2.68,ES
Rome,12.48,41.89,66.992,63,75,8.2,IT
Hovd,10.7,63.83,39.2,64,75,4.6,NO
Fort Oglethorpe,-85.24,34.95,57.2,39,1,4.1,US
Bira,132.47,49,-0.058,86,12,2.18,RU
Lady Frere,27.23,-31.7,58.532,86,30,4.91,ZA
Pitanga,-51.76,-24.76,78.044,50,28,1.36,BR
Chatellerault,0.53,46.8,42.008,93,90,0.5,FR
Alice Springs,133.88,-23.7,64.4,15,0,2.1,AU
Lagoa,-8.45,37.14,60.008,58,0,4.1,PT
Barao de Melgaco,-55.97,-16.19,89.6,49,75,1,BR
Mitzic,11.55,0.78,71.726,96,100,1.37,GA
